"model","log_loss","brier","accuracy"
"2022 home-win baseline",0.689849948416724,0.24835018376002,0.544117647058823
"Rolling ridge",0.648895280085786,0.228874433757941,0.613970588235294
"Elo, margin multiplier",0.639299282662685,0.22397484022718,0.632352941176471
"Kalman, fixed parameters",0.638567741301158,0.223948766644486,0.634191176470588
"Market: closing spread",0.60907068926698,0.210211824518207,0.696691176470588
"Market: normalized moneyline",0.607418848361388,0.209435566707224,0.698529411764706
